DIC_DT_DATE_ID,DIC_AFA_ID,NoOfImpressions,NoofClicks,Unique_IMP_Count,Unique_CLI_Count,BannerName,MM_BrandName,Language_Desc,MM_Size_Name,IsDirectDownload,MM_DestinationURL,MM_Promotion_Name,MM_IsMobile
20230405,100022956,8,2,2,1,50 kr+ 100% up to 2000kr ,888casino.dk,Danish,250x250,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230405,100069940,9,12,4,5,50kr+ 100% up to 2000kr ,888casino.dk,Danish,300x600,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230405,100069940,4,2,1,1,50 KR +up to 2000kr-slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230405,41074114,18,15,8,5,50 KR +up to 2000kr-slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfstarsp.htm,Casino DK - 50KR + 2000KR,0
20230405,100138383,7,4,2,1,50 KR +up to 2000kr-Generic,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/generic/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230405,100100357,2,2,1,1,50 Kr spins - slots,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/slots/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230405,100106581,0,6,0,2,50 KR - Blackjack,888casino.dk,Danish,UD,0,https://www.888casino.dk/sem/online-casino/blackjack/50kr-rfsp.htm,Casino DK - 50KR + 2000KR,0
20230405,41074114,0,2,0,2,www.888casino.dk - Home Page,888casino.dk,Danish,UD,0,http://www.888casino.dk/,Casino DK - 50KR + 2000KR,1
20230405,100059809,20,9,10,4,www.888casino.dk - Home Page,888casino.dk,Danish,UD,0,http://www.888casino.dk/,Casino DK - 50KR + 2000KR,1
20230405,100090393,22,16,12,7,888Ladies registration page,888ladies.com,English,UD,0,https://www.888ladies.com/smarturl, Treble the odds,0
20230405,100129330,5,3,0,1,Cleopatra 1500 WP,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,0
20230405,100129330,10,8,7,4,Cleopatra 1500 WP,888casino,Greek,120x600,0,http://el.888casino.com/exclusive-mob/cleopatra-1500-88.htm,?1500 Welcome Package,0
20230405,100129330,12,19,4,9,Treasure Fair - 1500 Welcome package + 30 free,888casino,Czech,120x600,0,http://cs.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,0
20230405,100101300,13,30,7,12,Treasure Fair - 1500 Welcome package + 30 free,888casino,German,728x90,0,http://de.888casino.com/exclusive-mob/treasure-fair.htm,1500 WP + 30,1
20230405,100126330,0,33,0,16,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230405,100126330,17,9,9,4,Roulette 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,1
20230405,100090659,31,22,15,11,777 BJ 100% up to 200,888casino,English,UD,0,http://www.777.com/exclusive/blackjack.htm,777 100% up to 200,0
20230405,100088955,3,34,1,11,777 Slots 100% up to 200,888casino,English,UD,0,https://play-www.777.com/,777 100% up to 200,0
20230405,100086970,4,20,1,8,Bem-vindo Pacote,888casino,Portuguese,236x60,1,http://pt.888casino.com/,UD,1
20230405,100055776,6,10,2,5,Bem-vindo Pacote,888casino,Portuguese,300x250,1,http://pt.888casino.com/,UD,0
20230405,100129330,6,5,2,1,EURO EL Roulette,888casino,Greek,120x600,1,http://el.888casino.com/,UD,1
20230405,100123412,2,10,1,4,888casino.es 1 million,888casino.es,Spanish,728x90,0,http://www.888casino.es/,UD,0
20230405,100131724,1,20,0,9,888casino.es 1 million,888casino.es,Spanish,720x300,0,http://www.888casino.es/,UD,0
20230405,100113580,20,35,11,15,Roulette 1500 WP,888casino,English,728x90,0,https://www.888casino.com/exclusive-mob/offer-1500.htm,Roulette - 1500 Welcome Package,1
20230405,100129330,18,2,12,1,Roulette 1500 WP,888casino,Japanese,120x600,0,https://jp.888casino.com/exclusive-mob/offer-1500.htm,Roulette - 1500 Welcome Package,0
20230405,100083454,33,33,12,15,Spin the wheel Cleopatra,888casino,English,300x250,0,https://www.888casino.com/exclusive-mob/cleopatra-1500-88.htm,Spin the wheel,0
20230405,100197158,9,9,3,4,Roulette 50 free + 1500 WP,888casino,English,468x60,0,http://www.888casino.com/exclusive-mob/roulette50.htm,Roulette 50 free + 1500 WP,0
20230405,100200154,1,12,1,4,Roulette 50 free + 1500 WP,888casino,English,468x60,0,http://www.888casino.com/exclusive-mob/roulette50.htm,Roulette 50 free + 1500 WP,0
